"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"SNAP-HOLE-0.125-INCH,SNAP-HOLE-0.125-INCH,SNAP-HOLE-0.125-INCH,SNAP-HOLE-0.125-INCH,SNAP-HOLE-0.125-INCH";"SNAP_HOLE_0.125_INCH";5;"VAL**";;;
2;"REF**,REF**";"fiducial-1mm";2;"fiducial-1mm";;;
3;"G***,G***,G***";"LOGO";3;"LOGO";;;
4;"G***";"Logo_copper_OSHW_6x6mm";1;"LOGO";;;
5;"U17";"TSSOP-16_4.4x5mm_Pitch0.65mm";1;"CD4052";;;
6;"U18,U14,U16,U15,U13,U12,U21";"SOT753_TSOP5_SC-74A";7;"TA75S558F";;;
7;"D18,D17";"SMB-1C2A";2;"S1BB";;;
8;"J1,J2,J3,J6,J7,J8,J9,J10,J11,J12,J13,J14,J16";"PJ-301B-JACK-SLOTS";13;"PJ301BM";;;
9;"U3,U2,U9,U10,U19";"TSSOP8-JRL";5;"TL072-";;;
10;"C1,C7,C9,C12,C17,C18";"SM0603-C-MURATA";6;"100p";;;
11;"C2,C15,C23,C26";"jrl_c_elec_5x5.3";4;"10μF";;;
12;"C3,C22,C24";"SM0603-C-MURATA";3;"22p";;;
13;"C4";"SM0603-C-MURATA";1;"0.1μ";;;
14;"C5";"SM0603-C-MURATA";1;"22pF";;;
15;"C6,C10,C13,C19";"SM0603-C-MURATA";4;"270pF";;;
16;"C8";"SM0603-C-MURATA";1;"47pF";;;
17;"C11";"SM0603-C-MURATA";1;"1n";;;
18;"C14";"SM0603-C-MURATA";1;"10n";;;
19;"C16";"SM0603-C-MURATA";1;"0.01μF";;;
20;"C21";"jrl_c_elec_4x5.3";1;"0.47μ";;;
21;"C25";"SM0603-C-MURATA";1;"100n";;;
22;"C27,C28,C29,C30,C31,C32,C34,C35,C37,C38,C39,C40,C41,C42,C43,C44,C47,C48,C49,C50,C51";"SM0603-C-MURATA";21;"0.1µ";;;
23;"C33,C36";"SM0603-C-MURATA";2;"0.47μ";;;
24;"C45,C46";"jrl_c_elec_5x5.3";2;"47μF";;;
25;"D1,D4";"SOT23-132-JRL";2;"LM4040-10.0";;;
26;"D2";"SOT23-132-JRL";1;"LM4040-5.0";;;
27;"D3,D5,D6,D7,D8,D9,D14,D20,D21,D22";"SOD323-C1A2";10;"1N4148";;;
28;"D10,D11,D12,D13,D15,D19";"3MM-LED-C1A2";6;"LED";;;
29;"D16";"SOD323-C1A2";1;"1N914";;;
30;"F1,F2";"C_0805";2;"PTC 0.1A";;;
31;"J4,J5,J17,J18";"PJ-301B-JACK-SLOTS";4;"PJ301B";;;
32;"J15";"PJ-301B-JACK-SLOTS";1;"JACK_MONO_SW";;;
33;"P2";"Pin_Header_Straight_2x05_Pitch2.54mm";1;"CONN_02X05";;;
34;"Q6";"SOT23-132-JRL";1;"MMBF4391LT1G";;;
35;"R1,R2,R6,R7,R12,R55,R90,R113,R125,R129";"SM0603-R-YAGEO";10;"1K";;;
36;"R3";"SM0603-R-YAGEO";1;"220";;;
37;"R4,R11,R71";"SM0603-R-YAGEO";3;"2.2K";;;
38;"R8,R9,R10,R13,R16,R23,R28,R30,R31,R62,R75,R76,R77,R78,R79,R103,R105,R108,R110,R122,R133,R142,R148";"SM0603-R-YAGEO";23;"100K";;;
39;"R14,R22,R51,R67,R72,R85,R91,R115,R120,R124,R5";"SM0603-R-YAGEO";11;"10K";;;
40;"R15,R99,R136,R139,R141,R145,R146,R147";"SM0603-R-YAGEO";8;"47K";;;
41;"R17,R24,R32,R73";"SM0603-R-YAGEO";4;"150K";;;
42;"R18,R19,R21,R27";"SM0603-R-YAGEO";4;"200K";;;
43;"R20,R127";"SM0603-R-YAGEO";2;"180K";;;
44;"R25";"SM0603-R-YAGEO";1;"680K";;;
45;"R26,R46,R56,R81,R87,R93";"SM0603-R-YAGEO";6;"560";;;
46;"R29,R49,R92,R118,R119,R128";"SM0603-R-YAGEO";6;"1meg";;;
47;"R33";"SM0603-R-YAGEO";1;"39K";;;
48;"R34,R57,R80,R126";"SM0603-R-YAGEO";4;"4.7K";;;
49;"R35,R104";"SM0603-R-YAGEO";2;"5.6K";;;
50;"R36,R48,R64,R94";"SM0603-R-YAGEO";4;"18K";;;
51;"R37";"SM0603-R-YAGEO";1;"82K";;;
52;"R38";"SM0805-HAND";1;"10K NTC";;;
53;"R39,R43,R50,R54,R65,R74,R88,R97,R144";"SM0603-R-YAGEO";9;"68K";;;
54;"R40,R58,R82";"SM0603-R-YAGEO";3;"1.8K";;;
55;"R41,R52,R70,R101,R131,R150";"SM0603-R-YAGEO";6;"33K";;;
56;"R42";"SM0603-R-YAGEO";1;"820";;;
57;"R44,R109,R111";"SM0603-R-YAGEO";3;"1.5K";;;
58;"R45";"SM0603-R-YAGEO";1;"1.5M";;;
59;"R47";"SM0603-R-YAGEO";1;"56K";;;
60;"R53";"SM0603-R-YAGEO";1;"270";;;
61;"R59";"SM0603-R-YAGEO";1;"470K";;;
62;"R60,R69,R98,R102";"SM0603-R-YAGEO";4;"10k";;;
63;"R61,R123";"SM0603-R-YAGEO";2;"3.3K";;;
64;"R63,R143,R86";"SM0603-R-YAGEO";3;"220K";;;
65;"R66";"SM0603-R-YAGEO";1;"12K";;;
66;"R68,R84";"SM0603-R-YAGEO";2;"30K";;;
67;"R83";"SM0603-R-YAGEO";1;"8.2K";;;
68;"R95,R100,R116,R121,R135,R138";"SM0603-R-YAGEO";6;"15K";;;
69;"R96,R117";"SM0603-R-YAGEO";2;"22K";;;
70;"R106";"SM0603-R-YAGEO";1;"0R";;;
71;"R107,R140";"SM0603-R-YAGEO";2;"100";;;
72;"R112";"SM0603-R-YAGEO";1;"330K";;;
73;"R114";"SM0603-R-YAGEO";1;"6.8K";;;
74;"R130";"SM0603-R-YAGEO";1;"220R";;;
75;"R132,R134,R137";"SM0603-R-YAGEO";3;"330";;;
76;"SW1,SW2,SW4";"SS-12F108-1P2T-SLIDE";3;"SPDT";;;
77;"SW3";"B3F-1050-OMRON";1;"BF3-1050";;;
78;"TP5,TP9";"TEST_POINT_LOOP_4592";2;"CONN_1";;;
